cat__Type of Travel_Personal Travel,cat__Class_Eco,remainder__id,remainder__Flight Distance,remainder__Inflight wifi service,remainder__Ease of Online booking,remainder__Online boarding,remainder__Seat comfort,remainder__Inflight entertainment,remainder__On-board service,remainder__Leg room service,remainder__Baggage handling,remainder__Cleanliness,Comfort_Per_Mile
0.0,0.0,90035.0,2863.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,1.5749803127460906
0.0,1.0,12360.0,192.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,5.707762557077625
0.0,0.0,77959.0,3377.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,0.8628127696289906
0.0,1.0,39177.0,311.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,1.0,5.0,8.9213300892133
0.0,1.0,27508.0,556.0,5.0,2.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,6.097560975609756
0.0,0.0,115550.0,325.0,2.0,5.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,7.84313725490196
0.0,0.0,119987.0,1009.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.9074241058010215
0.0,0.0,2274.0,925.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.227642276422763
1.0,1.0,22470.0,83.0,3.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,2.0,10.92896174863388
0.0,1.0,124915.0,728.0,2.0,5.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.8180354267310794
1.0,0.0,17836.0,1075.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,3.687943262411347
1.0,1.0,76872.0,1927.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,1.808913007728992
1.0,1.0,75855.0,1437.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,1.301236174365647
1.0,1.0,106181.0,302.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,4.0,9.12106135986733
0.0,0.0,44304.0,1428.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,4.0,2.835951134380453
